ArXiV id,Result,Where
1009.4259,Not found,
1007.5093,Not found,
1002.2722,Not found,
1001.2386,Not found,
1008.4898,Not found,
1009.3462,Not found,
1005.1466,Not found,
1010.5570,Not found,
1009.1317,Not found,
1010.2823,Not found,
1003.4326,Not found,
1006.5761,Not found,
1010.4065,Not found,
1010.2826,Not found,
1002.1549,Not found,
1009.3911,Not found,
1010.2825,Not found,
1003.4800,Not found,
1009.3710,Not found,
1002.0712,Not found,
1004.2003,Not found,
1005.1213,Not found,
1003.0396,Not found,
1010.5573,Not found,
1003.3330,Not found,
1009.4261,Not found,
1004.5034,Not found,
1003.1160,Not found,
1007.5090,Not found,
1008.1417,Not found,
1003.5777,Not found,
1002.1005,Not found,
1010.5571,Not found,
1004.2889,Not found,
1004.1262,Not found,
1004.2178,Not found,
1005.5045,Not found,
1009.1342,Not found,
1008.2647,Not found,
1005.2882,Not found,
1001.5050,Not found,
1003.1682,Not found,
1009.4266,Not found,
1011.1551,Not found,
1003.4562,Not found,
1009.3716,Not found,
1010.2827,Not found,
1011.0268,Not found,
1012.1640,Not found,
1002.3330,Not found,
1008.2909,Not found,
1009.4625,Not found,
1009.0673,Not found,
1005.2299,Not found,
1007.1023,Not found,
1009.4263,Not found,
1003.5455,Not found,
1009.3714,Not found,
1006.1951,Not found,
1001.4434,Not found,
1007.5092,Not found,
1009.4262,Not found,
1008.2458,Not found,
1010.6155,Not found,
1011.1589,Not found,
1007.1022,Not found,
1003.4090,Not found,
1010.5537,Not found,
1012.0038,Not found,
1004.5071,Not found,
1004.2873,Not found,
1001.4413,Not found,
1009.3713,Not found,
1002.0939,Not found,
1003.3830,Not found,
1001.2576,Not found,
1001.4436,Not found,
1006.3463,Not found,
1001.2817,Not found,
1010.4891,Not found,
1009.3715,Not found,
1007.2381,Not found,
1009.3712,Not found,
1007.5094,Not found,
1006.4474,Not found,
1007.5195,Not found,
1006.5845,Not found,
1007.3589,Not found,
0711.0836,Not found,
0711.0345,Not found,
0706.3159,Not found,
0712.2737,Not found,
0706.0523,Not found,
0710.5895,Not found,
0710.2887,Not found,
0711.0607,Not found,
0707.0808,Not found,
0711.0348,Not found,
0708.2255,Not found,
0711.0618,Not found,
0707.4166,Not found,
0709.2225,Not found,
0706.1456,Not found,
0712.3113,Not found,
0710.1482,Not found,
1811.05536,Not found,
1806.09791,Not found,
1809.05239,Not found,
1804.03919,Not found,
1809.01266,Not found,
1811.10171,Not found,
1810.09723,Not found,
1808.02320,Not found,
1801.01275,Not found,
1811.10818,Not found,
1811.10509,Not found,
1803.06502,Not found,
1802.09239,Not found,
1801.06876,Not found,
1802.00921,Not found,
1802.01096,Not found,
1807.07165,Not found,
1802.02295,Not found,
1810.03464,Not found,
1807.02965,Not found,
1812.09510,Not found,
1806.07723,Not found,
1805.09850,Not found,
1808.03517,Found,"Repo: github - ('orlenyslp', 'Caterpillar')"
1810.12034,Not found,
1806.05837,Not found,
1811.03045,Not found,
1801.09373,Not found,
1807.02400,Not found,
1803.05518,Not found,
1804.03518,Not found,
1809.02712,Not found,
1807.08221,Not found,
1803.05260,Not found,
1803.07407,Not found,
1812.11470,Not found,
1811.10816,Not found,
1811.04732,Not found,
1812.04863,Not found,
1801.09484,Not found,
1801.02363,Not found,
1801.05932,Not found,
1801.06268,Not found,
1810.05789,Not found,
1805.04207,Not found,
1804.02443,Not found,
1806.03150,Not found,
1809.08559,Not found,
1809.07794,Not found,
1805.08679,Not found,
1801.06041,Not found,
1807.05593,Not found,
1808.00594,Not found,
1803.00356,Not found,
1809.00626,Not found,
1804.00415,Not found,
1810.06599,Not found,
1809.04059,Not found,
1809.03725,Not found,
1812.05776,Not found,
1806.07060,Not found,
1804.03927,Not found,
1810.02470,Not found,
1809.00634,Not found,
1812.05293,Not found,
1804.03965,Not found,
1807.04486,Not found,
1810.08289,Not found,
1805.08677,Not found,
1809.08319,Not found,
1802.03562,Not found,
1802.02693,Not found,
1807.01853,Not found,
1807.02255,Not found,
1807.07490,Not found,
1802.04749,Not found,
1809.03739,Not found,
1811.01824,Found,"Repo: github - ('CoderPat', 'structured-neural-summarization')"
1803.05889,Not found,
1805.02769,Found,"Repo: github - ('regot-chalmers', 'treqs')"
1811.03814,Not found,
1802.03365,Found,"Repo: github - ('SpoonLabs', 'astor')"
1812.03149,Not found,
1811.02429,Not found,
1801.06475,Not found,
1812.05033,Not found,
1808.05409,Not found,
1807.04488,Not found,
1803.03900,Not found,
1808.02103,Not found,
1801.05924,Not found,
1807.08142,Not found,
1807.10154,Not found,
1806.10277,Not found,
1807.06136,Found,"Repo: github - ('softvis-research', 'Getaviz')"
1812.00992,Not found,
1809.00912,Not found,
1806.08987,Not found,
1802.02033,Not found,
1805.02763,Not found,
1808.00185,Not found,
1804.02433,Not found,
1810.09230,Not found,
1805.05887,Not found,
1807.09440,Not found,
1803.02205,Not found,
1810.07855,Not found,
1812.05560,Not found,
1806.09476,Not found,
1804.02438,Not found,
1803.05376,Not found,
1802.01714,Found,"Repo: github - ('hub-se', 'jpf-shadow')"
1808.00292,Not found,
1801.03763,Not found,
1807.04485,Not found,
1811.02005,Not found,
1804.02153,Not found,
1803.06686,Not found,
1805.08868,Not found,
1804.10657,Not found,
1811.03752,Not found,
1802.08005,Not found,
1812.08815,Not found,
1808.00093,Not found,
1808.10492,Not found,
1808.08444,Not found,
1804.01715,Not found,
1807.03777,Not found,
1805.05514,Not found,
1805.05521,Not found,
1811.08061,Not found,
1802.06997,Not found,
1805.05995,Not found,
1808.04706,Not found,
1808.10639,Not found,
1805.01025,Not found,
1808.08989,Not found,
1807.04100,Not found,
1807.03329,Not found,
1810.12617,Not found,
1810.06720,Not found,
1807.02340,Not found,
1810.07753,Not found,
1804.09232,Not found,
1802.04527,Not found,
1812.06286,Not found,
1809.02814,Not found,
1812.07270,Not found,
1811.05187,Not found,
1807.04072,Not found,
1807.02971,Not found,
1808.09413,Not found,
1811.01833,Not found,
1803.06516,Not found,
1809.07937,Not found,
1802.03998,Not found,
1803.06766,Not found,
1811.00694,Not found,
1802.03422,Not found,
1802.02517,Not found,
1810.04538,Not found,
1808.09199,Not found,
1806.02374,Not found,
1803.10177,Not found,
1811.08128,Not found,
1802.09949,Not found,
1811.10815,Not found,
1802.00603,Not found,
1812.05380,Not found,
1805.03441,Not found,
1807.09679,Not found,
1812.10578,Not found,
